Age,Experience_Years,Salary,Training_Hours,Performance_Score,Department,Promoted
29,5.5,25045.0,45.0,23.9,Engineering,0
49,16.9,58436.0,98.0,66.1,Sales,1
57,12.1,45026.0,93.0,50.8,Engineering,0
47,21.8,68155.0,70.0,59.4,HR,0
29,3.1,25000.0,71.0,26.4,Sales,0
49,22.0,69382.0,90.0,63.8,HR,0
49,10.8,34889.0,96.0,41.4,HR,0
58,29.2,83321.0,34.0,56.1,Marketing,0
57,10.8,50605.0,73.0,47.2,Marketing,1
48,15.8,45838.0,69.0,,Sales,0
38,12.2,46331.0,66.0,47.0,Engineering,0
30,6.9,25000.0,79.0,39.0,Marketing,0
54,27.1,87098.0,61.0,64.1,Marketing,0
41,15.0,48762.0,65.0,54.1,HR,0
34,10.0,,72.0,41.6,HR,1
49,11.3,41290.0,77.0,38.1,Engineering,0
50,13.2,37952.0,29.0,34.9,Marketing,1
34,5.7,25000.0,63.0,27.0,Marketing,0
56,17.9,62348.0,10.0,43.2,Engineering,0
27,2.7,25000.0,,34.4,Marketing,0
39,10.7,41326.0,19.0,27.3,Sales,0
26,1.6,25000.0,32.0,26.7,Sales,0
46,17.2,50483.0,60.0,44.2,Engineering,0
23,0.4,25000.0,33.0,20.0,HR,0
31,4.4,25000.0,22.0,23.8,Engineering,0
51,17.5,56428.0,38.0,39.2,Sales,0
26,3.1,27581.0,67.0,26.0,Marketing,0
54,23.8,81976.0,52.0,71.0,Marketing,1
22,0.0,25000.0,19.0,20.0,HR,0
39,6.7,30680.0,40.0,20.0,HR,0
53,19.5,66149.0,83.0,63.8,Sales,0
32,3.5,25000.0,97.0,34.5,HR,1
42,10.5,39666.0,23.0,30.0,Engineering,0
47,13.7,48551.0,43.0,39.4,Sales,0
46,7.8,25000.0,26.0,23.0,Marketing,0
43,9.8,35554.0,30.0,25.9,Marketing,0
48,22.7,69948.0,76.0,69.2,Marketing,1
34,10.5,32705.0,67.0,27.8,HR,0
54,16.4,54420.0,88.0,56.1,Sales,0
55,10.8,,17.0,36.6,HR,0
56,13.9,55388.0,47.0,42.5,Engineering,0
22,0.0,25000.0,35.0,20.0,Sales,0
42,17.4,,73.0,59.6,HR,0
27,1.9,25000.0,39.0,20.0,Marketing,0
49,20.5,64451.0,18.0,43.5,Marketing,1
38,5.8,28527.0,41.0,31.7,Engineering,0
26,3.6,25000.0,20.0,20.8,Engineering,0
52,15.9,53428.0,95.0,45.6,Engineering,0
26,3.1,25000.0,43.0,34.0,Marketing,0
59,18.7,72107.0,27.0,50.8,HR,0
24,1.4,,,20.3,Marketing,0
44,9.1,,63.0,33.4,Marketing,0
58,14.0,55373.0,,58.2,Marketing,0
58,31.1,99699.0,46.0,85.5,HR,1
31,7.7,28102.0,91.0,28.6,Marketing,0
31,7.5,31501.0,21.0,29.3,Engineering,0
40,12.2,30021.0,13.0,26.3,Engineering,0
38,12.6,29403.0,52.0,29.3,Engineering,0
42,6.8,25000.0,36.0,27.8,Engineering,0
35,6.5,27495.0,60.0,35.0,Marketing,0
30,3.9,26411.0,14.0,20.0,Marketing,0
22,0.0,25000.0,15.0,28.4,Marketing,0
34,6.2,25000.0,86.0,26.1,Engineering,0
25,1.2,25000.0,96.0,30.2,HR,0
22,0.0,25000.0,65.0,28.4,Sales,0
53,24.4,74154.0,98.0,78.7,Sales,1
55,17.5,58143.0,77.0,52.6,Sales,0
49,10.2,46774.0,53.0,41.6,HR,0
52,12.5,52431.0,24.0,46.9,Marketing,0
29,3.1,25000.0,99.0,35.0,Sales,0
47,12.0,52372.0,51.0,39.2,Sales,0
55,22.6,75545.0,20.0,52.3,Marketing,0
24,1.3,25000.0,82.0,39.9,Sales,0
33,7.9,25347.0,20.0,21.3,Marketing,0
22,0.0,25000.0,75.0,41.3,Sales,0
26,3.2,25000.0,36.0,27.6,Marketing,0
51,12.3,45616.0,67.0,40.6,Engineering,0
51,16.9,,99.0,58.6,HR,0
38,12.5,44271.0,81.0,41.4,Sales,0
44,9.0,45566.0,30.0,33.0,Marketing,0
36,5.1,27156.0,30.0,46.5,Engineering,0
58,29.9,89576.0,81.0,81.0,Marketing,1
42,10.1,37834.0,10.0,31.5,Sales,1
35,9.2,41025.0,67.0,37.6,Sales,0
23,0.3,25000.0,22.0,28.9,Sales,0
32,7.1,34809.0,82.0,45.1,Sales,0
59,18.1,60537.0,15.0,52.8,Sales,0
55,11.0,40442.0,96.0,55.3,Engineering,0
59,24.6,75715.0,67.0,56.5,Marketing,0
55,14.7,51240.0,26.0,33.8,Marketing,0
39,9.0,28884.0,82.0,30.6,Sales,0
51,10.1,42026.0,21.0,27.5,Marketing,0
36,5.4,25862.0,95.0,37.9,Engineering,0
48,12.4,52094.0,61.0,44.1,Sales,0
55,11.7,36949.0,85.0,52.0,HR,0
59,31.3,91229.0,79.0,86.1,Engineering,1
54,9.7,44478.0,82.0,46.0,Sales,0
45,13.6,,61.0,54.3,Marketing,0
36,5.2,25000.0,46.0,33.3,Engineering,0
51,14.1,56869.0,12.0,38.1,Sales,0
38,13.7,40600.0,17.0,20.4,Marketing,0
26,1.6,25000.0,19.0,20.0,Marketing,0
50,24.6,72267.0,56.0,56.2,Sales,0
25,1.3,25000.0,50.0,27.7,Engineering,0
31,6.7,26714.0,73.0,32.9,Sales,0
38,10.0,33786.0,51.0,33.0,Sales,0
31,7.5,25000.0,52.0,29.7,Sales,0
38,10.1,,18.0,20.0,Sales,0
41,11.8,41711.0,23.0,34.5,Sales,0
45,9.6,33507.0,13.0,22.7,Marketing,0
26,1.6,25000.0,11.0,20.0,Sales,0
55,28.0,88796.0,94.0,82.8,Engineering,0
27,2.5,25000.0,10.0,20.0,HR,0
23,0.5,25000.0,84.0,32.1,Sales,0
34,9.1,33877.0,,36.8,Engineering,0
32,5.0,25000.0,55.0,25.1,HR,0
44,19.2,67851.0,68.0,63.3,Engineering,0
37,11.1,40441.0,84.0,40.2,Marketing,0
52,19.8,70578.0,16.0,47.5,Marketing,0
32,8.3,33403.0,75.0,33.7,HR,0
37,4.9,25000.0,24.0,26.9,HR,0
29,3.2,25000.0,81.0,30.4,HR,0
25,1.7,25000.0,56.0,30.2,Marketing,0
25,1.3,25000.0,99.0,46.3,Marketing,0
46,17.9,68189.0,49.0,54.9,Engineering,0
24,1.7,25000.0,51.0,32.4,Marketing,1
53,17.2,59176.0,60.0,59.8,HR,0
24,1.0,25000.0,44.0,30.6,Sales,0
48,22.8,71111.0,50.0,57.3,Sales,0
50,15.9,62970.0,94.0,64.0,HR,0
53,18.4,55161.0,66.0,43.5,Marketing,0
40,9.2,38390.0,47.0,31.1,HR,0
42,16.9,58191.0,81.0,52.0,Marketing,0
26,2.6,25000.0,17.0,31.3,Sales,0
39,12.9,44260.0,83.0,42.0,Engineering,0
49,21.3,72408.0,72.0,58.5,Marketing,0
43,10.6,38154.0,96.0,,Engineering,0
42,11.2,36593.0,13.0,29.8,Sales,0
27,4.0,25000.0,57.0,28.8,Engineering,0
22,0.0,25000.0,61.0,34.3,Engineering,0
26,3.1,25000.0,47.0,29.4,HR,0
33,9.5,35207.0,96.0,35.8,Engineering,0
47,16.8,55059.0,14.0,35.5,Sales,0
55,24.6,78990.0,94.0,78.3,Marketing,1
35,10.2,42174.0,79.0,42.9,Engineering,0
47,20.2,62013.0,90.0,65.3,Marketing,1
48,14.0,61101.0,,59.6,HR,0
30,2.6,25000.0,33.0,20.0,Sales,0
47,13.5,,95.0,48.7,Sales,1
43,14.8,,86.0,44.9,Marketing,0
51,16.5,51509.0,26.0,36.7,Sales,0
38,12.0,41271.0,87.0,45.9,HR,0
47,12.9,35542.0,99.0,46.1,Marketing,1
57,23.8,82879.0,92.0,65.7,Sales,1
22,0.0,,35.0,23.6,HR,0
29,5.2,25000.0,12.0,20.0,HR,0
56,21.3,64330.0,11.0,41.8,Engineering,0
36,5.9,25000.0,11.0,20.0,Sales,0
43,10.0,35039.0,31.0,26.8,Marketing,0
35,9.7,44378.0,80.0,52.5,Engineering,0
47,14.7,45334.0,13.0,38.8,Marketing,0
49,11.6,48271.0,47.0,47.5,Engineering,0
44,19.4,67502.0,93.0,61.1,HR,0
35,9.5,25000.0,79.0,27.7,Engineering,0
45,20.1,60673.0,,57.3,Engineering,0
23,0.6,25000.0,61.0,28.1,Engineering,0
47,14.6,44026.0,40.0,34.3,Sales,0
35,10.9,43741.0,35.0,30.3,Engineering,0
28,3.7,25000.0,45.0,25.5,HR,0
24,1.4,25000.0,35.0,21.6,Marketing,0
44,9.9,38297.0,37.0,,Sales,0
39,9.7,37663.0,14.0,31.2,HR,0
59,13.8,47422.0,83.0,53.7,Sales,0
56,14.4,51498.0,27.0,33.4,Marketing,0
36,4.2,25000.0,24.0,23.5,Marketing,0
46,7.8,34184.0,66.0,32.4,Marketing,0
58,31.9,98896.0,14.0,62.6,Sales,0
49,12.0,41107.0,46.0,34.5,Sales,0
31,6.3,28211.0,95.0,43.2,Marketing,0
38,12.9,,95.0,46.7,Marketing,0
43,13.2,37996.0,31.0,39.4,HR,0
47,9.8,35943.0,61.0,38.9,Marketing,0
46,17.7,53572.0,24.0,38.5,Engineering,0
38,10.6,33358.0,26.0,33.2,Sales,0
34,8.9,30068.0,60.0,34.3,HR,0
41,14.5,51617.0,54.0,40.5,Sales,0
46,21.2,63666.0,72.0,66.1,Marketing,1
25,1.9,25000.0,37.0,25.4,Engineering,0
31,4.5,25000.0,68.0,30.4,Marketing,0
24,1.4,25000.0,95.0,31.4,Sales,0
39,5.8,,30.0,28.6,HR,0
57,29.3,94674.0,51.0,75.9,Sales,1
43,7.8,33149.0,90.0,43.2,HR,0
55,16.4,60244.0,78.0,53.2,Engineering,0
29,5.5,,91.0,41.6,Marketing,0
40,11.9,43925.0,26.0,39.0,Marketing,0
58,19.3,56047.0,77.0,49.4,Engineering,0
27,2.9,25000.0,16.0,,Sales,0
47,20.3,61759.0,98.0,63.7,Engineering,1
55,16.6,67052.0,49.0,46.6,Marketing,0
27,4.1,25000.0,49.0,27.2,HR,0
58,12.7,46163.0,52.0,38.9,Marketing,0
54,24.5,80283.0,82.0,76.0,Sales,1
43,17.0,55854.0,92.0,53.7,HR,0
42,8.2,25000.0,60.0,34.2,Sales,0
27,2.8,25000.0,,30.5,Marketing,0
27,2.0,25000.0,32.0,28.1,Marketing,0
25,2.2,25000.0,41.0,35.2,HR,0
51,18.0,59678.0,40.0,42.4,Sales,0
32,6.8,33796.0,26.0,29.2,HR,0
51,12.1,47674.0,67.0,58.9,HR,0
52,12.8,52471.0,95.0,54.3,Sales,0
45,7.5,29791.0,44.0,29.0,HR,0
30,3.9,,39.0,28.4,Engineering,1
24,1.3,25000.0,73.0,31.5,HR,0
52,24.4,75965.0,62.0,54.5,Marketing,0
58,25.2,72977.0,60.0,66.3,Sales,1
57,19.6,60385.0,46.0,39.4,Marketing,0
45,20.1,59296.0,99.0,57.2,Engineering,0
52,21.9,73652.0,15.0,58.1,Engineering,0
27,4.3,25000.0,43.0,23.5,HR,0
23,0.6,25000.0,65.0,26.2,Marketing,0
41,8.7,33177.0,34.0,33.3,HR,0
49,9.0,42604.0,22.0,28.5,HR,0
32,7.4,28120.0,72.0,27.0,Marketing,1
25,1.1,,75.0,33.0,Engineering,0
36,6.7,25000.0,14.0,20.0,Engineering,0
27,3.1,25000.0,84.0,,Engineering,0
51,18.5,67672.0,20.0,52.3,Sales,0
59,24.4,78516.0,97.0,74.1,Sales,1
23,0.4,25000.0,87.0,32.3,HR,0
36,7.4,25000.0,53.0,25.8,Sales,1
32,6.7,25000.0,94.0,37.8,Sales,0
29,6.2,25000.0,78.0,38.2,Marketing,0
47,18.4,55547.0,11.0,37.8,HR,0
26,3.4,25000.0,49.0,29.7,HR,0
27,3.8,25000.0,46.0,28.7,Marketing,0
47,16.4,66716.0,58.0,60.5,Engineering,0
25,1.2,25000.0,84.0,33.7,Marketing,0
40,12.6,41254.0,45.0,31.9,Engineering,0
41,12.8,49614.0,84.0,47.6,HR,0
54,21.2,59565.0,82.0,57.8,HR,0
41,11.3,33141.0,79.0,47.0,Sales,1
33,6.8,30219.0,43.0,26.3,Sales,0
22,0.0,25000.0,67.0,34.1,Marketing,0
47,15.3,51488.0,46.0,41.9,Sales,0
35,5.4,25000.0,69.0,31.0,HR,1
59,29.0,91399.0,21.0,72.7,HR,1
58,14.8,50360.0,41.0,45.6,Engineering,0
32,3.5,25000.0,90.0,28.5,Sales,0
57,19.7,60558.0,13.0,40.1,Engineering,0
34,8.3,30038.0,42.0,34.7,HR,0
24,1.1,25000.0,52.0,27.8,Sales,0
54,14.9,51325.0,18.0,32.1,Engineering,0
27,3.2,25000.0,60.0,24.6,HR,0
31,4.6,25000.0,29.0,26.0,Engineering,0
26,3.4,25000.0,48.0,31.2,Sales,0
44,18.8,62541.0,32.0,48.2,Engineering,0
31,5.4,25000.0,50.0,39.0,Engineering,0
23,0.5,25000.0,53.0,31.4,HR,0
34,8.9,31546.0,44.0,28.6,Sales,0
23,0.3,25000.0,32.0,20.0,Marketing,0
41,11.1,38980.0,67.0,34.5,Marketing,0
22,0.0,25000.0,57.0,29.7,Engineering,0
58,30.7,107303.0,96.0,88.3,HR,1
30,2.5,25000.0,67.0,38.4,Sales,0
38,10.1,31753.0,66.0,41.7,HR,0
30,6.0,25150.0,96.0,39.1,Sales,0
32,5.9,25000.0,48.0,20.4,HR,1
36,4.9,25000.0,37.0,20.7,Marketing,0
45,20.3,56840.0,73.0,58.8,Marketing,0
59,22.6,73944.0,71.0,60.7,Marketing,0
56,22.7,65643.0,92.0,67.8,HR,1
51,12.8,49242.0,71.0,49.4,HR,0
52,17.7,63261.0,94.0,61.2,Engineering,0
26,2.2,25000.0,97.0,32.6,Marketing,0
35,4.5,25000.0,94.0,35.0,Engineering,0
32,3.6,25000.0,35.0,24.6,HR,0
30,6.4,27559.0,60.0,35.5,Sales,0
55,14.6,49557.0,59.0,40.4,Marketing,0
33,4.6,,45.0,24.6,Marketing,0
56,20.5,58992.0,35.0,,Marketing,0
56,25.9,76525.0,42.0,62.7,Marketing,0
22,0.0,25000.0,77.0,27.5,Marketing,0
43,13.6,47917.0,82.0,41.8,HR,0
50,10.4,43775.0,17.0,36.0,Marketing,0
29,2.3,,75.0,24.1,Marketing,0
32,3.3,25000.0,32.0,29.5,Engineering,1
58,28.8,75425.0,79.0,65.3,Sales,0
35,4.8,25000.0,64.0,21.7,Marketing,1
51,9.5,42990.0,,36.7,Engineering,0
56,19.1,77953.0,30.0,59.9,HR,0
42,16.1,50728.0,31.0,37.4,Engineering,0
58,16.5,55323.0,18.0,40.6,Marketing,0
26,2.2,25000.0,43.0,29.0,Engineering,1
40,5.8,25219.0,68.0,29.4,Engineering,0
35,7.4,35377.0,35.0,25.9,HR,1
47,16.2,50559.0,10.0,34.2,Engineering,0
25,1.9,25000.0,14.0,26.5,HR,0
46,12.0,48181.0,50.0,,HR,0
46,11.7,44592.0,72.0,34.0,Engineering,0
39,6.2,33006.0,31.0,33.7,Marketing,1
29,3.6,25000.0,77.0,33.3,Sales,0
35,4.7,28566.0,57.0,35.1,Engineering,0
53,23.6,66581.0,75.0,56.6,Engineering,0
59,32.6,91081.0,25.0,56.9,Engineering,0
54,28.2,93095.0,89.0,82.8,Sales,1
44,18.0,58237.0,62.0,46.5,Sales,0
36,9.2,38404.0,95.0,37.7,HR,0
54,23.1,74447.0,74.0,57.8,Sales,0
46,11.3,42015.0,88.0,48.6,Sales,0
38,10.9,32010.0,73.0,36.6,Engineering,0
54,18.3,61816.0,97.0,64.5,HR,0
23,0.6,25000.0,77.0,35.4,Marketing,0
35,9.8,35283.0,72.0,35.8,HR,0
27,2.3,25000.0,71.0,30.5,Sales,0
27,2.5,25000.0,91.0,32.3,Sales,0
24,1.7,25000.0,90.0,,Engineering,0
28,2.0,25000.0,80.0,27.8,Marketing,0
29,4.1,25000.0,54.0,29.4,Marketing,0
36,11.9,39252.0,61.0,43.7,Marketing,0
50,18.7,72238.0,83.0,60.7,Sales,0
54,20.1,69437.0,74.0,67.5,Sales,0
51,13.0,44607.0,11.0,32.5,HR,0
48,13.2,47723.0,58.0,44.6,Sales,0
57,28.4,88283.0,31.0,56.6,Marketing,1
50,17.8,,38.0,43.9,Marketing,0
59,22.5,74147.0,44.0,59.0,Marketing,0
54,11.5,55990.0,90.0,59.3,Engineering,0
58,11.1,38666.0,,39.4,HR,0
48,22.8,71238.0,33.0,62.4,HR,0
54,16.8,54386.0,39.0,47.7,Sales,0
25,2.0,25000.0,,30.7,Engineering,0
43,7.3,28784.0,51.0,29.5,HR,0
23,0.7,25000.0,80.0,45.1,Engineering,0
31,7.7,37201.0,59.0,30.4,Engineering,0
26,2.6,25000.0,80.0,35.3,Sales,0
31,3.4,25000.0,69.0,,Engineering,0
54,20.8,65828.0,39.0,55.2,HR,0
59,28.1,84534.0,21.0,66.9,Sales,1
34,6.5,30159.0,58.0,29.8,HR,0
52,24.8,79101.0,91.0,76.5,Engineering,1
57,24.1,76626.0,55.0,73.2,Engineering,1
45,19.3,64456.0,52.0,53.7,Marketing,0
36,9.4,38755.0,11.0,32.0,Sales,0
50,10.6,40730.0,84.0,41.0,Sales,0
29,3.4,,89.0,34.6,Marketing,0
26,1.7,25000.0,63.0,28.4,HR,0
50,23.7,75503.0,44.0,63.1,HR,0
25,2.3,25000.0,61.0,34.9,Engineering,0
33,7.8,25000.0,42.0,24.5,Sales,0
23,0.5,25000.0,94.0,43.1,Engineering,0
48,10.7,,93.0,51.4,Marketing,0
52,22.6,69730.0,81.0,66.9,Engineering,1
57,20.5,72925.0,60.0,58.0,HR,0
57,15.2,53824.0,35.0,39.8,HR,0
47,16.7,57091.0,71.0,48.2,Marketing,0
48,8.4,36545.0,70.0,43.1,HR,0
26,2.0,25000.0,35.0,20.0,Marketing,0
41,11.0,44275.0,46.0,42.1,Sales,0
32,3.9,25000.0,39.0,,Marketing,0
31,8.0,,20.0,24.8,Marketing,0
59,15.7,52488.0,62.0,47.5,Marketing,1
27,1.9,25000.0,50.0,33.3,HR,0
29,3.0,25000.0,14.0,25.2,Sales,0
44,16.8,61720.0,75.0,63.3,Engineering,0
47,13.9,43614.0,22.0,40.8,Sales,0
33,7.0,30328.0,72.0,,HR,0
47,7.8,35753.0,91.0,36.2,Sales,0
34,3.8,25000.0,99.0,31.2,Sales,0
39,9.6,43383.0,34.0,25.3,Marketing,1
46,19.0,59937.0,53.0,45.1,Marketing,0
54,26.6,92751.0,23.0,66.8,HR,1
33,3.9,25000.0,78.0,29.5,Marketing,0
57,21.8,70254.0,68.0,59.5,HR,0
25,2.5,25000.0,65.0,32.1,Engineering,0
26,2.1,25000.0,61.0,27.3,Sales,0
58,28.7,92732.0,75.0,71.2,Engineering,1
29,2.7,32441.0,77.0,36.8,Engineering,0
49,23.3,75225.0,,49.9,Sales,0
52,22.5,71971.0,84.0,63.4,Marketing,0
30,6.9,,77.0,38.8,Engineering,0
50,19.8,55049.0,52.0,45.7,Sales,0
35,6.7,33101.0,82.0,47.3,Engineering,0
43,18.1,55416.0,83.0,60.7,Engineering,0
32,4.7,34371.0,15.0,23.0,Sales,0
44,11.0,45041.0,24.0,29.3,Marketing,1
22,0.0,25000.0,51.0,26.6,HR,0
58,27.3,87621.0,40.0,72.2,Sales,1
42,17.2,57620.0,95.0,55.0,HR,0
47,10.6,37127.0,62.0,41.7,Sales,0
57,27.3,76592.0,15.0,60.1,Sales,0
44,16.3,51197.0,,38.7,HR,0
22,0.0,25000.0,38.0,20.9,HR,0
36,7.5,26311.0,30.0,27.1,Marketing,0
42,9.4,29670.0,63.0,33.1,Sales,0
30,3.9,25000.0,65.0,26.2,Sales,0
30,7.1,31929.0,30.0,25.5,Sales,0
31,6.2,28541.0,64.0,31.5,Marketing,0
47,18.3,60707.0,67.0,46.0,HR,0
56,30.1,94985.0,73.0,81.8,Sales,1
46,12.6,39640.0,95.0,43.0,HR,0
47,19.5,58873.0,55.0,36.3,Marketing,0
32,5.6,25155.0,93.0,35.3,Engineering,0
59,30.4,88677.0,31.0,61.6,HR,0
23,0.4,25000.0,69.0,38.9,Marketing,0
28,5.2,25000.0,20.0,20.0,Engineering,0
39,7.3,25000.0,56.0,22.4,Sales,0
48,12.9,50330.0,40.0,44.1,Sales,0
55,24.9,83885.0,86.0,69.8,HR,1
48,13.9,45996.0,27.0,32.2,Engineering,0
38,10.6,30298.0,31.0,28.9,Marketing,0
45,13.0,34958.0,65.0,31.1,Sales,0
46,17.9,67760.0,26.0,43.1,Sales,0
28,2.6,25000.0,47.0,34.7,Engineering,0
27,1.7,25000.0,34.0,26.4,Marketing,0
45,11.0,39180.0,41.0,33.0,Sales,0
54,18.7,53383.0,24.0,40.4,Sales,0
50,11.2,46099.0,22.0,37.7,HR,0
43,10.8,49901.0,67.0,51.5,Marketing,0
47,13.5,43936.0,99.0,45.3,Sales,0
49,9.0,49117.0,59.0,46.4,Engineering,0
42,13.0,44518.0,20.0,31.1,Sales,1
28,5.0,29234.0,22.0,22.9,Marketing,0
38,6.3,28686.0,59.0,31.7,HR,0
41,12.5,45081.0,47.0,39.4,Sales,0
41,13.3,54770.0,10.0,42.2,Engineering,0
43,11.6,45814.0,48.0,42.6,Sales,0
49,19.5,65324.0,36.0,43.2,Engineering,1
28,3.3,25000.0,45.0,20.0,Marketing,0
22,0.0,25000.0,41.0,23.0,HR,0
53,9.4,41693.0,50.0,46.9,Marketing,0
34,8.6,39039.0,24.0,26.6,Sales,0
51,20.2,66442.0,40.0,51.3,Sales,0
44,7.1,27993.0,15.0,20.0,HR,1
40,9.4,26304.0,98.0,34.4,Engineering,0
53,27.5,80732.0,,66.9,Marketing,1
51,16.0,55955.0,91.0,62.5,Engineering,0
50,16.8,52718.0,31.0,,Sales,0
50,23.7,69428.0,40.0,50.3,Engineering,0
51,21.2,68044.0,82.0,75.5,Marketing,1
37,9.7,42592.0,55.0,39.8,Engineering,0
40,14.0,50424.0,76.0,45.9,Sales,0
39,13.9,47879.0,52.0,49.4,Marketing,0
22,0.0,25000.0,10.0,20.0,Engineering,0
35,7.6,32256.0,53.0,40.4,Engineering,0
23,0.5,25000.0,66.0,25.5,Marketing,0
49,23.8,72145.0,18.0,58.8,Sales,0
51,20.8,70991.0,14.0,51.1,Marketing,0
59,12.9,48823.0,88.0,56.6,Sales,0
25,2.5,25000.0,18.0,29.8,Engineering,0
22,0.0,25000.0,54.0,21.8,Marketing,0
29,2.4,25000.0,86.0,40.2,Sales,0
50,17.6,66592.0,33.0,44.0,Marketing,0
24,1.1,25000.0,83.0,28.0,Engineering,0
53,25.6,75054.0,51.0,56.2,Marketing,0
31,3.8,25000.0,31.0,25.4,Engineering,0
31,7.2,25156.0,69.0,30.7,Engineering,0
40,11.4,,95.0,47.9,Engineering,0
55,11.0,47940.0,46.0,41.9,Sales,0
54,28.3,89257.0,48.0,72.1,Sales,1
44,13.4,50432.0,93.0,55.6,HR,0
49,12.8,46126.0,83.0,52.8,Sales,0
53,18.0,69708.0,83.0,,HR,1
28,4.9,26768.0,99.0,37.5,Marketing,0
50,13.5,46365.0,98.0,47.9,Engineering,0
29,2.9,25000.0,62.0,32.1,Sales,0
22,0.0,25000.0,37.0,20.0,Engineering,1
24,1.0,25000.0,86.0,30.5,HR,0
45,17.7,56059.0,24.0,,Sales,0
44,12.8,51273.0,69.0,47.4,Sales,0
29,3.1,25000.0,69.0,24.4,Sales,0
58,14.4,54701.0,15.0,32.0,Sales,0
24,1.0,25000.0,61.0,29.1,Engineering,0
54,27.6,97867.0,21.0,75.2,Sales,1
49,13.7,46317.0,28.0,42.1,HR,0
29,6.3,25000.0,84.0,34.0,Sales,0
55,19.5,65620.0,11.0,56.0,HR,0
56,13.9,52034.0,64.0,47.0,HR,0
53,25.9,82532.0,24.0,59.1,Engineering,0
45,13.3,44299.0,73.0,31.3,Sales,0
35,9.4,27669.0,78.0,31.8,HR,0
53,27.6,93669.0,24.0,71.5,Sales,1
37,5.0,26660.0,52.0,36.0,Engineering,0
25,1.1,25000.0,83.0,29.1,Engineering,0
58,26.4,85586.0,26.0,64.6,Sales,0
42,9.4,45265.0,,42.0,HR,0
35,5.3,25000.0,83.0,33.3,Marketing,0
52,9.7,40906.0,39.0,23.7,Marketing,0
39,5.3,25000.0,76.0,33.1,Engineering,0
28,4.6,25000.0,60.0,32.5,HR,1
31,3.4,25000.0,69.0,25.7,Marketing,0
28,3.5,25000.0,12.0,20.0,HR,0
54,21.2,68264.0,14.0,42.5,Sales,1
44,12.3,47950.0,37.0,,Engineering,0
42,6.3,31296.0,87.0,43.4,Sales,0
40,13.9,40962.0,20.0,31.3,Sales,0
40,5.5,27619.0,81.0,42.6,Sales,1
57,26.5,86144.0,,,HR,1
50,23.4,74040.0,85.0,64.6,Marketing,0
39,9.5,40897.0,24.0,31.6,Sales,0
23,0.6,25000.0,92.0,37.9,Engineering,0
22,0.0,25000.0,57.0,32.9,HR,0
26,2.1,25000.0,55.0,29.3,Marketing,0
41,15.8,43797.0,37.0,42.1,Sales,0
32,8.4,34505.0,16.0,24.7,Engineering,0
23,0.5,25000.0,80.0,27.7,Sales,0
24,1.3,25000.0,91.0,34.5,Marketing,0
44,18.8,54874.0,97.0,57.0,Marketing,0
33,9.6,38036.0,15.0,22.3,Sales,0
41,11.5,33510.0,67.0,29.1,Sales,0
26,2.3,25000.0,77.0,34.3,HR,0
58,16.8,61655.0,64.0,51.9,Marketing,0
59,32.4,91411.0,76.0,75.3,Marketing,1
51,11.2,43930.0,58.0,39.1,Sales,0
30,5.2,35269.0,,43.1,Engineering,0
55,15.5,61197.0,68.0,60.7,Sales,0
56,15.9,52410.0,15.0,31.8,Sales,0
43,11.4,44984.0,99.0,47.1,Marketing,0
45,20.7,58170.0,60.0,55.0,HR,0
38,5.3,25000.0,47.0,29.1,Sales,0
31,5.8,25000.0,20.0,20.5,Engineering,1
51,10.1,,61.0,35.4,Engineering,1
44,8.6,38757.0,29.0,28.2,Sales,0
53,17.5,,19.0,43.7,Engineering,0
38,9.7,38124.0,35.0,33.8,Engineering,0
38,7.3,25000.0,57.0,36.6,Sales,0
35,6.4,26195.0,23.0,20.0,Engineering,0
30,2.8,25000.0,68.0,25.1,Engineering,1
23,0.5,25000.0,21.0,20.3,Sales,0
46,21.1,67461.0,32.0,56.5,Marketing,0
30,6.9,27896.0,94.0,30.2,HR,0
43,10.5,40713.0,81.0,50.6,HR,0
25,1.9,25000.0,48.0,25.4,Marketing,1
47,21.1,72624.0,18.0,48.3,Sales,0
50,8.5,35697.0,97.0,35.2,Marketing,0
55,26.0,85038.0,34.0,67.0,HR,1
44,19.1,49422.0,26.0,37.3,HR,0
58,12.8,57705.0,51.0,49.5,HR,0
32,4.0,25000.0,38.0,,HR,0
27,4.4,31807.0,69.0,33.4,Sales,0
39,10.6,48796.0,76.0,45.3,HR,0
42,6.2,25000.0,94.0,35.0,HR,0
57,15.9,60935.0,66.0,50.5,Sales,1
59,21.1,65364.0,81.0,52.1,Marketing,0
55,23.6,72303.0,23.0,66.4,Sales,1
38,11.8,37816.0,48.0,28.0,HR,0
58,32.3,100390.0,25.0,72.8,Engineering,1
46,11.3,43673.0,27.0,25.7,Sales,0
59,23.0,69192.0,84.0,52.9,Sales,0
33,6.8,29100.0,29.0,25.7,Marketing,0
44,12.0,42179.0,55.0,40.0,HR,0
43,8.4,25000.0,54.0,33.8,Engineering,0
42,17.7,54680.0,13.0,41.1,Sales,0
48,21.1,75452.0,93.0,68.2,Sales,1
52,18.0,58599.0,29.0,40.1,Sales,0
27,3.3,25000.0,20.0,28.2,Engineering,0
48,11.3,46722.0,74.0,50.6,Sales,1
55,20.7,63612.0,27.0,41.6,Sales,0
33,7.9,30722.0,48.0,30.3,Engineering,0
